time_start,backward,forward,added,removed,total,new_sites,pct_change
-3050,27,27,NA,NA,27,NA,NA
-3000,27,38,11,NA,38,11,40.74074074074074
-2950,38,38,NA,NA,38,0,0
-2900,38,38,NA,NA,38,0,0
-2850,38,38,NA,NA,38,0,0
-2800,38,38,NA,NA,38,0,0
-2750,38,38,NA,NA,38,0,0
-2700,38,38,NA,NA,38,0,0
-2650,38,38,NA,NA,38,0,0
-2600,38,36,NA,NA,38,0,0
-2550,36,36,NA,2,36,-2,-5.263157894736842
-2500,36,36,NA,NA,36,0,0
-2450,36,36,NA,NA,36,0,0
-2400,36,28,NA,NA,36,0,0
-2350,28,28,NA,8,28,-8,-22.22222222222222
-2300,28,28,NA,NA,28,0,0
-2250,28,28,NA,NA,28,0,0
-2200,28,28,NA,NA,28,0,0
-2150,28,28,NA,NA,28,0,0
-2100,28,28,NA,NA,28,0,0
-2050,28,10,NA,NA,28,0,0
-1200,10,22,12,18,22,-6,-21.428571428571427
-1150,22,22,NA,NA,22,0,0
-1100,22,22,NA,NA,22,0,0
-1050,22,22,NA,NA,22,0,0
-1000,22,22,NA,NA,22,0,0
-950,22,22,NA,NA,22,0,0
-900,22,22,NA,NA,22,0,0
-850,22,22,NA,NA,22,0,0
-800,22,22,NA,NA,22,0,0
-750,22,22,NA,NA,22,0,0
-700,22,22,NA,NA,22,0,0
-650,22,22,NA,NA,22,0,0
-600,22,14,NA,NA,22,0,0
50,14,27,13,8,27,5,22.727272727272727
100,27,27,NA,NA,27,0,0
150,27,27,NA,NA,27,0,0
200,27,27,NA,NA,27,0,0
250,27,27,NA,NA,27,0,0
300,27,27,NA,NA,27,0,0
350,27,27,NA,NA,27,0,0
400,27,27,NA,NA,27,0,0
450,27,27,NA,NA,27,0,0
500,27,27,NA,NA,27,0,0
550,27,27,NA,NA,27,0,0
600,27,27,NA,NA,27,0,0
