time_start,backward,forward,added,removed,total,new_sites,pct_change
-3150,13,13,NA,NA,13,NA,NA
-3100,13,13,NA,NA,13,0,0
-3050,13,10,NA,NA,13,0,0
-3000,10,14,4,3,14,1,7.6923076923076925
-2950,14,14,NA,NA,14,0,0
-2900,14,14,NA,NA,14,0,0
-2850,14,14,NA,NA,14,0,0
-2800,14,14,NA,NA,14,0,0
-2750,14,14,NA,NA,14,0,0
-2700,14,14,NA,NA,14,0,0
-2650,14,12,NA,NA,14,0,0
-2600,12,20,8,2,20,6,42.857142857142854
-2550,20,20,NA,NA,20,0,0
-2500,20,20,NA,NA,20,0,0
-2450,20,20,NA,NA,20,0,0
-2400,20,20,NA,NA,20,0,0
-2350,20,12,NA,NA,20,0,0
-2300,12,15,3,8,15,-5,-25
-2250,15,15,NA,NA,15,0,0
-2200,15,15,NA,NA,15,0,0
-2150,15,15,NA,NA,15,0,0
-2100,15,15,NA,NA,15,0,0
-2050,15,15,NA,NA,15,0,0
-2000,15,15,NA,NA,15,0,0
-1950,15,6,NA,NA,15,0,0
-1900,6,12,6,9,12,-3,-20
-1850,12,12,NA,NA,12,0,0
-1800,12,12,NA,NA,12,0,0
-1750,12,12,NA,NA,12,0,0
-1700,12,12,NA,NA,12,0,0
-1650,12,8,NA,NA,12,0,0
-1600,8,9,1,4,9,-3,-25
-1550,9,9,NA,NA,9,0,0
-1500,9,9,NA,NA,9,0,0
-1450,9,9,NA,NA,9,0,0
-1400,9,12,3,NA,12,3,33.33333333333333
-1350,12,12,NA,NA,12,0,0
-1300,12,12,NA,NA,12,0,0
-1250,12,10,NA,NA,12,0,0
-1200,10,20,10,2,20,8,66.66666666666666
-1150,20,20,NA,NA,20,0,0
-1100,20,20,NA,NA,20,0,0
-1050,20,20,NA,NA,20,0,0
-1000,20,20,NA,NA,20,0,0
-950,20,20,NA,NA,20,0,0
-900,20,20,NA,NA,20,0,0
-850,20,19,NA,NA,20,0,0
-800,19,19,NA,1,19,-1,-5
-750,19,19,NA,NA,19,0,0
-700,19,19,NA,NA,19,0,0
-650,19,17,NA,NA,19,0,0
-600,17,17,NA,2,17,-2,-10.526315789473683
-550,17,20,3,NA,20,3,17.647058823529413
-500,20,20,NA,NA,20,0,0
-450,20,20,NA,NA,20,0,0
-400,20,12,NA,NA,20,0,0
-300,12,30,18,8,30,10,50
-250,30,30,NA,NA,30,0,0
-200,30,30,NA,NA,30,0,0
-150,30,30,NA,NA,30,0,0
-100,30,22,NA,NA,30,0,0
-50,22,23,2,8,24,-6,-20
0,23,23,NA,1,23,-1,-4.166666666666666
50,23,23,NA,NA,23,0,0
100,23,22,NA,NA,23,0,0
150,22,22,NA,1,22,-1,-4.3478260869565215
200,22,22,NA,NA,22,0,0
250,22,16,NA,NA,22,0,0
300,16,49,33,6,49,27,122.72727272727273
350,49,41,NA,NA,49,0,0
400,41,47,6,8,47,-2,-4.081632653061225
450,47,47,NA,NA,47,0,0
500,47,47,NA,NA,47,0,0
550,47,47,NA,NA,47,0,0
600,47,16,NA,NA,47,0,0
