time_start,backward,forward,added,removed,total,new_sites,pct_change
-3000,10,14,4,3,14,1,7.6923076923076925
-2600,12,20,8,2,20,6,42.857142857142854
-2300,12,15,3,8,15,-5,-25
-1900,6,12,6,9,12,-3,-20
-1600,8,9,1,4,9,-3,-25
-1400,9,12,3,NA,12,3,33.33333333333333
-1200,10,20,10,2,20,8,66.66666666666666
-800,19,19,NA,1,19,-1,-5
-600,17,17,NA,2,17,-2,-10.526315789473683
-550,17,20,3,NA,20,3,17.647058823529413
-300,12,30,18,8,30,10,50
-50,22,23,2,8,24,-6,-20
0,23,23,NA,1,23,-1,-4.166666666666666
150,22,22,NA,1,22,-1,-4.3478260869565215
300,16,49,33,6,49,27,122.72727272727273
400,41,47,6,8,47,-2,-4.081632653061225
