time_start,backward,forward,added,removed,total,new_sites,pct_change
-3150,76,25,NA,NA,76,NA,NA
-3100,25,47,22,51,47,-29,-38.15789473684211
-3050,47,46,NA,NA,47,0,0
-3000,46,46,NA,1,46,-1,-2.127659574468085
-2950,46,46,NA,NA,46,0,0
-2900,46,46,NA,NA,46,0,0
-2850,46,46,NA,NA,46,0,0
-2800,46,46,NA,NA,46,0,0
-2750,46,46,NA,NA,46,0,0
-2700,46,46,NA,NA,46,0,0
-2650,46,46,NA,NA,46,0,0
-2600,46,12,NA,NA,46,0,0
-2550,12,24,12,34,24,-22,-47.82608695652174
-2500,24,24,NA,NA,24,0,0
-2450,24,24,NA,NA,24,0,0
-2400,24,24,NA,NA,24,0,0
-2350,24,24,NA,NA,24,0,0
-2300,24,24,NA,NA,24,0,0
-2250,24,24,NA,NA,24,0,0
-2200,24,24,NA,NA,24,0,0
-2150,24,24,NA,NA,24,0,0
-2100,24,24,NA,NA,24,0,0
-2050,24,17,NA,NA,24,0,0
-2000,17,46,29,7,46,22,91.66666666666666
-1950,46,46,NA,NA,46,0,0
-1900,46,46,NA,NA,46,0,0
-1850,46,46,NA,NA,46,0,0
-1800,46,46,NA,NA,46,0,0
-1750,46,46,NA,NA,46,0,0
-1700,46,46,NA,NA,46,0,0
-1650,46,46,NA,NA,46,0,0
-1600,46,46,NA,NA,46,0,0
-1550,46,3,NA,NA,46,0,0
-1500,3,3,NA,43,3,-43,-93.47826086956522
-1450,3,3,NA,NA,3,0,0
-1400,3,33,30,NA,33,30,1000
-1350,33,33,NA,NA,33,0,0
-1300,33,33,NA,NA,33,0,0
-1250,33,33,NA,NA,33,0,0
-1200,33,33,NA,NA,33,0,0
-1150,33,33,NA,NA,33,0,0
-1100,33,33,NA,NA,33,0,0
-1050,33,30,NA,NA,33,0,0
-900,30,83,53,3,83,50,151.5151515151515
-850,83,83,NA,NA,83,0,0
-800,83,83,NA,NA,83,0,0
-750,83,83,NA,NA,83,0,0
-700,83,83,NA,NA,83,0,0
-650,83,4,NA,NA,83,0,0
-600,4,4,NA,79,4,-79,-95.18072289156626
-550,4,4,NA,NA,4,0,0
-500,4,4,NA,NA,4,0,0
-450,4,4,NA,NA,4,0,0
-400,4,4,NA,NA,4,0,0
-350,4,4,NA,NA,4,0,0
-300,4,82,78,NA,82,78,1950
-250,82,82,NA,NA,82,0,0
-200,82,82,NA,NA,82,0,0
-150,82,82,NA,NA,82,0,0
-100,82,53,NA,NA,82,0,0
-50,53,84,31,29,84,2,2.4390243902439024
0,84,84,NA,NA,84,0,0
50,84,84,NA,NA,84,0,0
100,84,84,NA,NA,84,0,0
150,84,5,NA,NA,84,0,0
200,5,5,NA,79,5,-79,-94.04761904761905
250,5,5,NA,NA,5,0,0
300,5,60,55,NA,60,55,1100
350,60,59,NA,NA,60,0,0
400,59,59,NA,1,59,-1,-1.6666666666666667
450,59,59,NA,NA,59,0,0
500,59,59,NA,NA,59,0,0
550,59,59,NA,NA,59,0,0
600,59,40,NA,NA,59,0,0
