time_start,backward,forward,added,removed,total,new_sites,pct_change
-3000,46,46,NA,1,46,-1,-2.127659574468085
-2550,12,24,12,34,24,-22,-47.82608695652174
-2000,17,46,29,7,46,22,91.66666666666666
-1500,3,3,NA,43,3,-43,-93.47826086956522
-1400,3,33,30,NA,33,30,1000
-900,30,83,53,3,83,50,151.5151515151515
-600,4,4,NA,79,4,-79,-95.18072289156626
-300,4,82,78,NA,82,78,1950
-50,53,84,31,29,84,2,2.4390243902439024
200,5,5,NA,79,5,-79,-94.04761904761905
300,5,60,55,NA,60,55,1100
400,59,59,NA,1,59,-1,-1.6666666666666667
