time_start,backward,forward,added,removed,total,new_sites,pct_change
-3150,28,9,NA,NA,28,NA,NA
-3100,9,12,3,19,12,-16,-57.14285714285714
-3050,12,10,NA,NA,12,0,0
-3000,10,10,NA,2,10,-2,-16.666666666666664
-2950,10,10,NA,NA,10,0,0
-2900,10,11,1,NA,11,1,10
-2850,11,11,NA,NA,11,0,0
-2800,11,11,NA,NA,11,0,0
-2750,11,11,NA,NA,11,0,0
-2700,11,11,NA,NA,11,0,0
-2650,11,11,NA,NA,11,0,0
-2600,11,11,NA,NA,11,0,0
-2550,11,18,7,NA,18,7,63.63636363636363
-2500,18,18,NA,NA,18,0,0
-2450,18,18,NA,NA,18,0,0
-2400,18,18,NA,NA,18,0,0
-2350,18,18,NA,NA,18,0,0
-2300,18,18,NA,NA,18,0,0
-2250,18,18,NA,NA,18,0,0
-2200,18,18,NA,NA,18,0,0
-2150,18,17,NA,NA,18,0,0
-2100,17,17,NA,1,17,-1,-5.555555555555555
-2050,17,4,NA,NA,17,0,0
-2000,4,5,1,13,5,-12,-70.58823529411765
-1950,5,4,NA,NA,5,0,0
-1900,4,4,NA,1,4,-1,-20
-1850,4,4,NA,NA,4,0,0
-1800,4,4,NA,NA,4,0,0
-1750,4,4,NA,NA,4,0,0
-1700,4,4,NA,NA,4,0,0
-1650,4,4,NA,NA,4,0,0
-1600,4,21,17,NA,21,17,425
-1550,21,20,NA,NA,21,0,0
-1500,20,20,NA,1,20,-1,-4.761904761904762
-1450,20,19,NA,NA,20,0,0
-1400,19,21,2,1,21,1,5
-1350,21,21,NA,NA,21,0,0
-1300,21,21,NA,NA,21,0,0
-1250,21,18,NA,NA,21,0,0
-1200,18,40,22,3,40,19,90.47619047619048
-1150,40,40,NA,NA,40,0,0
-1100,40,40,NA,NA,40,0,0
-1050,40,40,NA,NA,40,0,0
-1000,40,40,NA,NA,40,0,0
-950,40,40,NA,NA,40,0,0
-900,40,44,4,NA,44,4,10
-850,44,44,NA,NA,44,0,0
-800,44,44,NA,NA,44,0,0
-750,44,44,NA,NA,44,0,0
-700,44,44,NA,NA,44,0,0
-650,44,36,NA,NA,44,0,0
-600,36,4,NA,8,36,-8,-18.181818181818183
-550,4,7,3,32,7,-29,-80.55555555555556
-500,7,7,NA,NA,7,0,0
-450,7,7,NA,NA,7,0,0
-400,7,1,NA,NA,7,0,0
-350,1,1,NA,6,1,-6,-85.71428571428571
-300,1,37,36,NA,37,36,3600
-250,37,37,NA,NA,37,0,0
-200,37,37,NA,NA,37,0,0
-150,37,37,NA,NA,37,0,0
-100,37,24,NA,NA,37,0,0
-50,24,32,8,13,32,-5,-13.513513513513514
0,32,32,NA,NA,32,0,0
50,32,32,NA,NA,32,0,0
100,32,32,NA,NA,32,0,0
150,32,8,NA,NA,32,0,0
200,8,8,NA,24,8,-24,-75
250,8,8,NA,NA,8,0,0
300,8,30,22,NA,30,22,275
350,30,30,NA,NA,30,0,0
400,30,30,NA,NA,30,0,0
450,30,30,NA,NA,30,0,0
500,30,30,NA,NA,30,0,0
550,30,30,NA,NA,30,0,0
600,30,24,NA,NA,30,0,0
