time_start,backward,forward,added,removed,total,new_sites,pct_change
-3150,8,1,NA,NA,8,NA,NA
-3100,1,4,3,7,4,-4,-50
-3050,4,4,NA,NA,4,0,0
-3000,4,4,NA,NA,4,0,0
-2950,4,4,NA,NA,4,0,0
-2900,4,4,NA,NA,4,0,0
-2850,4,4,NA,NA,4,0,0
-2800,4,4,NA,NA,4,0,0
-2750,4,4,NA,NA,4,0,0
-2700,4,4,NA,NA,4,0,0
-2650,4,4,NA,NA,4,0,0
-2600,4,4,NA,NA,4,0,0
-2550,4,15,11,NA,15,11,275
-2500,15,15,NA,NA,15,0,0
-2450,15,15,NA,NA,15,0,0
-2400,15,15,NA,NA,15,0,0
-2350,15,15,NA,NA,15,0,0
-2300,15,15,NA,NA,15,0,0
-2250,15,15,NA,NA,15,0,0
-2200,15,15,NA,NA,15,0,0
-2150,15,15,NA,NA,15,0,0
-2100,15,15,NA,NA,15,0,0
-2050,15,5,NA,NA,15,0,0
-2000,5,9,4,10,9,-6,-40
-1950,9,9,NA,NA,9,0,0
-1900,9,9,NA,NA,9,0,0
-1850,9,9,NA,NA,9,0,0
-1800,9,9,NA,NA,9,0,0
-1750,9,9,NA,NA,9,0,0
-1700,9,9,NA,NA,9,0,0
-1650,9,9,NA,NA,9,0,0
-1600,9,23,14,NA,23,14,155.55555555555557
-1550,23,21,NA,NA,23,0,0
-1500,21,21,NA,2,21,-2,-8.695652173913043
-1450,21,21,NA,NA,21,0,0
-1400,21,21,NA,NA,21,0,0
-1350,21,21,NA,NA,21,0,0
-1300,21,21,NA,NA,21,0,0
-1250,21,13,NA,NA,21,0,0
-1200,13,22,9,8,22,1,4.761904761904762
-1150,22,22,NA,NA,22,0,0
-1100,22,22,NA,NA,22,0,0
-1050,22,22,NA,NA,22,0,0
-1000,22,22,NA,NA,22,0,0
-950,22,22,NA,NA,22,0,0
-900,22,23,1,NA,23,1,4.545454545454546
-850,23,23,NA,NA,23,0,0
-800,23,23,NA,NA,23,0,0
-750,23,23,NA,NA,23,0,0
-700,23,23,NA,NA,23,0,0
-650,23,23,NA,NA,23,0,0
-600,23,4,NA,NA,23,0,0
-550,4,4,NA,19,4,-19,-82.6086956521739
-500,4,4,NA,NA,4,0,0
-450,4,4,NA,NA,4,0,0
-400,4,2,NA,NA,4,0,0
-350,2,1,NA,2,2,-2,-50
-300,1,13,12,1,13,11,550
-250,13,13,NA,NA,13,0,0
-200,13,13,NA,NA,13,0,0
-150,13,13,NA,NA,13,0,0
-100,13,7,NA,NA,13,0,0
-50,7,13,6,6,13,0,0
0,13,13,NA,NA,13,0,0
50,13,13,NA,NA,13,0,0
100,13,13,NA,NA,13,0,0
150,13,1,NA,NA,13,0,0
200,1,1,NA,12,1,-12,-92.3076923076923
250,1,1,NA,NA,1,0,0
300,1,16,15,NA,16,15,1500
350,16,16,NA,NA,16,0,0
400,16,16,NA,NA,16,0,0
450,16,16,NA,NA,16,0,0
500,16,16,NA,NA,16,0,0
550,16,16,NA,NA,16,0,0
600,16,16,NA,NA,16,0,0
